Platz,PAK,SNR,Name,Vorname,Verein,AK,Zeit,Schwimmen,Rad,Laufen,Details
1,1,5,Van Vlerken,Per,LC Dübener Heide,AK 35,01:53:44,00:19:26,00:56:33,00:34:50,Details
2,1,28,Seifert,Florian,TVB09 e. V. / Team Berlin,AK 30,01:55:01,00:19:27,00:58:17,00:34:19,Details
3,2,4,Schulz,Martin,SC DHfK Leipzig e. V.,AK 30,01:55:30,00:20:42,00:57:51,00:33:56,Details
4,2,10,Schilling,Alexander,athleticnetworks.com,AK 35,01:56:22,00:19:30,00:59:18,00:34:48,Details
5,1,7,Warmuth,Kenneth,KTT 01,AK 25,01:56:45,00:20:25,00:59:04,00:34:35,Details
6,1,38,Berger,Felix,Teha Endurance Group,AK 20,01:58:21,00:21:38,00:58:28,00:35:10,Details
7,3,29,Breitkreuz,Maximilian,Roter Stern Leipzig,AK 35,01:59:50,00:23:20,00:56:52,00:36:05,Details
8,2,21,Weihmüller,Morris,LTV Obereichsfeld e. V.,AK 20,01:59:50,00:22:03,01:00:37,00:34:01,Details
9,3,447,Hartmann,Johannes,STRONK,AK 30,02:00:22,00:20:58,01:00:31,00:35:05,Details
10,1,50,Poerner,Gernot,TC Merseburg,AK 45,02:00:27,00:23:14,00:57:27,00:36:24,Details
11,4,56,Laube,Fabian,TuS Neukölln Berlin,AK 35,02:03:01,00:19:27,01:02:59,00:36:45,Details
12,3,8,Heinemann,Lorenz,SV Halle Triathlon,AK 20,02:03:35,00:21:36,01:02:07,00:36:47,Details
13,4,246,Dreier,Tobias,SV Döbeln 05,AK 30,02:03:48,00:22:51,01:00:45,00:36:49,Details
14,1,88,Peim,Alexander,TSV Saalburg e. V.,AK 40,02:04:38,00:23:44,00:59:50,00:37:17,Details
15,5,188,Hartmann,Christoph,Team Hartmann,AK 35,02:06:36,00:22:50,01:01:19,00:39:16,Details
16,2,17,Scherl,Lukas,SV Bayreuth,AK 25,02:06:41,00:24:09,00:59:41,00:39:18,Details
17,6,107,Gonschorek,Patrick,SC DHfK Leipzig e. V.. Triathlon,AK 35,02:07:21,00:26:10,01:02:09,00:35:40,Details
18,2,39,Müller,Erik,Leipziger Triathlon e. V.,AK 45,02:07:24,00:23:13,01:02:30,00:38:09,Details
19,3,3,Petzold,Maik,Bautzener LV Rot-Weiß 90 e. V.,AK 45,02:07:48,00:20:40,01:05:22,00:37:33,Details
20,7,101,Heinze,Christoph,TRIStars Markkleeberg e. V.,AK 35,02:07:59,00:24:12,01:04:17,00:35:54,Details
21,5,154,König,Sebastian,LC Dübener Heide,AK 30,02:08:42,00:26:40,01:02:54,00:35:41,Details
22,6,272,Buggenthin,Henry,TRIStars Markkleeberg e. V.,AK 30,02:09:09,00:23:22,01:05:18,00:37:08,Details
23,2,114,Conrad,Marcus,TEHA Endurance Group,AK 40,02:09:35,00:28:32,01:01:11,00:36:04,Details
24,3,715,Brandl,Nicola,Athletico Leipzig e. V.,AK 25,02:09:49,00:24:53,01:03:45,00:37:52,Details
25,4,523,Knüpfer,Tim,Leipzig,AK 20,02:10:33,00:25:39,01:03:48,00:37:21,Details
26,7,51,Könner,Michael,sisu-training,AK 30,02:10:58,00:26:22,01:02:54,00:38:04,Details
27,1,173,Bogen,Gregor,LFV Oberholz e. V.,AK 50,02:11:00,00:24:24,01:03:29,00:39:43,Details
28,8,36,Riedrich,Christian,TVB09 e. V./Team Berlin,AK 30,02:11:06,00:19:25,01:01:43,00:46:04,Details
29,8,121,Werner,Rico,Athletico Leipzig e. V.,AK 35,02:11:47,00:28:23,01:00:47,00:39:07,Details
30,4,661,Groß,Yannis,Stertz Performance,AK 25,02:11:48,00:24:08,01:05:11,00:38:38,Details
31,5,280,Musolf,Tim,ASC Göttingen Triathlon Team,AK 25,02:12:12,00:24:21,01:03:22,00:40:12,Details
32,3,131,Golatowski,Stephan,LFV Oberholz e. V.,AK 40,02:12:26,00:24:41,01:01:17,00:42:15,Details
33,1,15,Kiso,Andreas,SGE Exter,AK 55,02:12:29,00:24:44,01:05:49,00:37:46,Details
34,4,129,Ronneburger,Ralf,Athletico Leipzig e. V.,AK 45,02:13:33,00:26:17,01:04:21,00:39:20,Details
35,5,458,Winkler,Lars,Leipzig,AK 45,02:13:40,00:23:09,01:03:44,00:42:32,Details
36,9,685,Marcks,Franz,APPSfactory,AK 30,02:13:51,00:26:06,01:02:29,00:41:10,Details
37,9,183,Rohde,Leonard,Tri-Team Senftenberg,AK 35,02:14:14,00:27:55,01:03:24,00:38:48,Details
38,6,479,Stechemesser,Nico,Team Gelb Dresden,AK 45,02:14:15,00:20:41,01:07:02,00:42:32,Details
39,10,482,Böhm,Ralf,Chemnitz,AK 30,02:14:19,00:25:36,01:01:44,00:42:30,Details
40,11,98,Wolf,Paul,SC DHfK Leipzig e. V.,AK 30,02:14:31,00:26:57,01:02:58,00:40:40,Details
41,6,213,Menzel,Max,TV Dresden e. V.,AK 25,02:14:40,00:22:34,01:01:36,00:46:26,Details
42,10,480,Dolge,René,Salzatal,AK 35,02:14:41,00:27:23,01:04:04,00:38:57,Details
43,4,24,Barth,Paul,Team ultraSPORTS,AK 40,02:14:53,00:27:08,01:03:22,00:40:01,Details
44,5,20,Franz,Matthias,Moritzburger Triathlonverein e. V.,AK 40,02:15:06,00:27:20,01:05:58,00:37:14,Details
45,7,130,Müller,Sebastian,TV Dresden e. V.,AK 25,02:15:25,00:24:22,01:05:11,00:42:17,Details
46,11,293,Steiniger,Sascha,SG Falkenstein,AK 35,02:15:49,00:28:00,01:03:47,00:39:43,Details
47,12,205,Bernau,Stefan,DLRG Luckenwalde,AK 35,02:15:54,00:26:40,01:05:06,00:39:10,Details
48,2,451,Endler,Jan,Rapswegrunners,AK 50,02:15:58,00:26:50,01:05:37,00:39:00,Details
49,13,187,Rose,Tobias,Teamwork Berlin e. V.,AK 35,02:16:00,00:25:33,01:05:13,00:41:20,Details
50,14,251,Franz,Dustin,DLRG Luckenwalde,AK 35,02:16:19,00:27:41,01:05:16,00:39:48,Details
51,6,253,Bernardoni,Fabio,Triathlon Verein Dresden,AK 40,02:16:39,00:24:16,01:07:25,00:40:52,Details
52,3,210,Berger,Rodrigo,ADREIKA,AK 50,02:16:58,00:25:17,01:09:00,00:39:32,Details
53,8,62,Eberwein,Lukas,Bremen,AK 25,02:17:14,00:26:34,01:06:29,00:39:23,Details
54,7,552,Ganzon,Martin,SV Zwickau 04,AK 40,02:18:08,00:23:57,01:05:27,00:44:37,Details
55,12,478,Behnisch,Yves,Rennrad statt Auto,AK 30,02:18:12,00:29:00,01:06:56,00:37:59,Details
56,8,698,Freund,Nico,Team Resource,AK 40,02:18:41,00:28:00,01:03:17,00:43:11,Details
57,15,116,Kubick,Christoph,LC Auensee Leipzig e. V.,AK 35,02:18:52,00:25:53,01:04:33,00:44:43,Details
58,9,550,Saar,Ralf,Markkleeberg,AK 40,02:19:02,00:27:07,01:08:24,00:38:45,Details
59,4,266,Silva,Danny,LG eXa Leipzig e. V.,AK 50,02:19:41,00:25:16,01:10:29,00:40:03,Details
60,16,156,Sander,Marco,LFV Oberholz e. V.,AK 35,02:20:08,00:27:51,01:07:22,00:41:52,Details
61,17,81,Dragon,Ralf,Triathlon Verein Dresden e. V.,AK 35,02:20:50,00:27:01,01:05:02,00:43:25,Details
62,13,291,Rösch,Moritz,Roter Stern,AK 30,02:20:59,00:26:08,01:07:31,00:43:16,Details
63,2,234,Mueller,Jiri,StVo Limbach-Oberfrohna,AK 55,02:21:15,00:22:52,01:09:21,00:44:22,Details
64,14,716,Eyssen,Moritz,Berlin,AK 30,02:21:18,00:28:25,00:00:00,00:39:33,Details
65,3,67,Methfessel,Jan,TRI-4-FUN.SVKT,AK 55,02:21:25,00:24:40,01:05:22,00:47:32,Details
66,5,150,Peschka,Andreas,ADREIKA,AK 50,02:21:35,00:27:38,01:05:52,00:43:58,Details
67,4,127,Lauterbach,Thomas,Muldental-Triathlon e. V.,AK 55,02:21:43,00:24:20,01:09:55,00:42:25,Details
68,15,676,Lamsbach,Marcel,TSV Heiligenrode,AK 30,02:21:57,00:32:07,01:05:09,00:39:29,Details
69,18,428,Mucke,Marcel,TRI-Sport Wurzen e. V.,AK 35,02:22:01,00:30:43,01:06:58,00:38:21,Details
70,16,100,Viehweg,Tony,Athletico Leipzig e. V.,AK 30,02:22:01,00:25:20,01:07:30,00:44:19,Details
71,6,6,Johannsen,Klaus,Leipziger Triathlon e. V.,AK 50,02:22:04,00:21:37,01:07:46,00:48:23,Details
72,7,527,Gerstäcker,Dirk,SC DHfK Leipzig e. V.. Radsport,AK 50,02:22:11,00:27:58,01:04:48,00:44:12,Details
73,5,346,Drossel,Titus,Merseburg,AK 20,02:22:16,00:29:49,01:04:49,00:41:24,Details
74,10,99,Ziegener,Dirk,SC DHfK Leipzig e. V.,AK 40,02:22:24,00:27:07,01:08:35,00:43:05,Details
75,17,303,Tüllinghoff,Adrian,Leipzig,AK 30,02:22:27,00:29:06,01:09:49,00:39:58,Details
76,11,255,Kuhn,Denny,ASC Göttingen Triathlon Team,AK 40,02:22:41,00:28:33,01:08:11,00:42:12,Details
77,8,182,Orlamünder,Eckhard,TSV Saalburg/Team Iron Mind,AK 50,02:22:57,00:24:47,01:08:08,00:45:00,Details
78,6,700,Purath,Moritz,Leipzig,AK 20,02:23:08,00:29:09,01:09:00,00:39:49,Details
79,7,80,Brand,Nico,Erfurter SSC Wasserball,AK 45,02:23:15,00:20:36,01:08:12,00:50:22,Details
80,5,746,Witke,Thomas,Dresden,AK 55,02:23:29,00:26:12,01:08:10,00:44:21,Details
81,19,142,Wiegand,Mike,Team Erdinger Alkoholfrei,AK 35,02:23:33,00:28:07,01:07:03,00:43:51,Details
82,12,408,Jürgens,Uwe,Airbus SG,AK 40,02:23:39,00:28:25,01:06:02,00:44:03,Details
83,13,333,John,André,Halle (Saale),AK 40,02:23:42,00:30:56,01:08:27,00:39:41,Details
84,14,181,Büttner,Simeon,power & pace,AK 40,02:23:46,00:27:05,01:05:03,00:47:34,Details
85,15,176,Klemm,Alexander,LFV Oberholz e. V.,AK 40,02:23:58,00:25:48,01:10:56,00:42:40,Details
86,20,295,Freistedt,Christian,Leipzig,AK 35,02:24:09,00:26:11,01:07:45,00:46:27,Details
87,21,285,Markovic,Igor,A3K Berlin,AK 35,02:24:10,00:28:18,01:07:43,00:42:23,Details
88,16,521,Bausch,René,Sportgruppe Bienenfleiß,AK 40,02:24:10,00:28:04,01:08:10,00:43:15,Details
89,22,439,Potjomkin,Timofei,SC DHfK Leipzig e. V.,AK 35,02:24:10,00:27:33,01:09:03,00:43:20,Details
90,23,87,Hirte,Björn,BSV Friesen 1895 e. V.,AK 35,02:24:16,00:29:18,01:05:19,00:45:54,Details
91,17,465,Simon,Falk,Red Devils Burgstädt - Turnen,AK 40,02:24:24,00:28:37,01:06:55,00:43:48,Details
92,8,365,Grimmert,Danny,ERDINGER Active TEAM,AK 45,02:24:26,00:27:44,01:04:57,00:45:12,Details
93,9,592,Staab,Holger,SC Heigenbrücken,AK 45,02:24:35,00:25:49,01:08:47,00:45:33,Details
94,9,119,Bail,Silvio,LFV Oberholz e. V.,AK 50,02:24:45,00:25:09,01:09:23,00:46:05,Details
95,18,53,Liepe,Mario,VfL Eilenburg,AK 40,02:25:03,00:24:51,01:08:58,00:47:11,Details
96,24,310,Schurig,Christoph,SC DHfK Leipzig e. V.,AK 35,02:25:24,00:28:01,01:08:43,00:43:26,Details
97,7,647,Thormann,Tade,SV Blau-Rot Pratau e. V. Abt. Judo,AK 20,02:25:27,00:29:45,01:12:03,00:39:23,Details
98,10,140,Perlhofer,Michael,SC DHfK Leipzig e. V.,AK 45,02:25:27,00:27:02,01:08:12,00:45:14,Details
99,19,757,Haase,Christian,VfB Schach Leipzig,AK 40,02:25:38,00:27:20,01:08:51,00:44:41,Details
100,18,77,Bleck,Simon,ERDINGER Active TEAM/LG eXa Leipzig,AK 30,02:25:48,00:27:54,01:09:27,00:43:34,Details
101,20,682,Lübbert,Christoph,Berlin,AK 40,02:25:49,00:32:56,01:07:51,00:41:08,Details
102,25,302,Oertelt,Marcus,Weisser Keniner,AK 35,02:26:08,00:28:30,01:08:35,00:43:44,Details
103,21,146,Bräunlich,Michael,STV Limbach-Oberfrohna,AK 40,02:26:08,00:30:29,01:09:39,00:41:06,Details
104,22,343,Hoyer,Steffen,Karnevalsclub Zscherndorf 1976 e. V.,AK 40,02:26:10,00:28:55,01:09:03,00:42:59,Details
105,23,327,Urbansky,Steffen,Jena,AK 40,02:26:21,00:27:55,01:14:57,00:38:46,Details
106,10,37,Mende,Oliver,Team Zoot Europe,AK 50,02:26:23,00:24:15,01:10:01,00:46:03,Details
107,24,580,Freiherr,Lars,Mittelpunkt Jena,AK 40,02:26:28,00:28:38,01:08:11,00:44:07,Details
108,25,125,Pfeiffer,Robin,SSV Blau-Weiß Gersdorf,AK 40,02:26:29,00:32:12,01:05:22,00:44:39,Details
109,19,359,Schmager,Sebastian,Leipzig,AK 30,02:26:40,00:29:17,01:08:38,00:43:06,Details
110,11,202,Helbig,Matthias,SG Chemie Zeitz e. V.,AK 45,02:26:55,00:26:12,01:06:20,00:49:35,Details
111,11,404,Löffler,Carsten,Groitzsch,AK 50,02:27:03,00:33:20,01:05:49,00:42:59,Details
112,26,207,Müller,Torsten,Triathlon Team Lausitz,AK 35,02:27:12,00:29:11,01:11:39,00:41:52,Details
113,12,782,Höhne,André,Leipzig,AK 45,02:27:26,00:27:23,01:12:27,00:43:12,Details
114,26,120,Zeunert,André,TSV 92 Freiberg,AK 40,02:27:31,00:29:45,01:10:41,00:42:32,Details
115,6,504,Demuth,Matthias,Three4Tri,AK 55,02:27:37,00:26:56,01:08:13,00:47:54,Details
116,9,758,Schmieder,Erik,SG Strießen,AK 25,02:27:46,00:31:53,01:06:47,00:44:43,Details
117,12,152,Kahl,Torsten,SC DHfK Leipzig e. V.,AK 50,02:27:51,00:25:22,01:11:02,00:44:52,Details
118,13,438,Bunk,Andreas,neuelaufkultur.de,AK 45,02:28:21,00:28:54,01:11:04,00:44:33,Details
119,27,105,Forberger,René,SC DHfK Leipzig e. V.. Triathlon,AK 40,02:28:25,00:31:59,01:08:18,00:44:16,Details
120,13,467,Meise,Matthias,Squadra Veloce,AK 50,02:28:27,00:30:35,01:06:17,00:45:55,Details
121,14,607,Püschmann,Dirk,Team Push-man.de,AK 50,02:28:34,00:21:34,01:16:17,00:46:15,Details
122,20,432,Kunzel,Stefan,Dresden,AK 30,02:28:44,00:30:47,01:11:03,00:40:23,Details
123,21,278,Schmidt,Stefan,SG Chemie Bitterfeld,AK 30,02:28:47,00:33:03,01:07:50,00:42:51,Details
124,1,668,Rendez,Helmar,DUC Berlin e. V.,AK 60,02:28:49,00:24:50,01:14:05,00:45:05,Details
125,22,671,Mache,Franz,DLRG Leipzig,AK 30,02:28:57,00:25:40,01:13:19,00:45:46,Details
126,28,133,Burghardt,Marco,TSV Heiligenrode,AK 40,02:29:00,00:26:30,01:12:54,00:44:48,Details
127,10,502,Spang,Christoph,Team Jana,AK 25,02:29:01,00:26:47,01:12:52,00:45:06,Details
128,29,54,Weigert,David,ReWork,AK 40,02:29:03,00:32:44,01:07:00,00:43:39,Details
129,14,484,Menzel,Frank,SSV Leutzsch,AK 45,02:29:12,00:27:28,01:06:36,00:49:10,Details
130,15,666,Toepel,Jörg,Leipzig,AK 45,02:29:15,00:29:32,01:12:28,00:43:12,Details
131,16,19,Danyi,Matthias,FC St. Pauli Triathlon,AK 45,02:29:15,00:24:06,01:13:23,00:48:04,Details
132,11,496,Reichel,Tom,Plauen,AK 25,02:29:22,00:35:57,01:03:49,00:43:27,Details
133,30,190,Schulz,Andreas,USC Magdeburg,AK 40,02:29:23,00:25:10,01:13:43,00:46:29,Details
134,17,290,Kudela,Torsten,TVDÄ,AK 45,02:29:25,00:27:03,01:08:41,00:45:47,Details
135,7,166,Seifert,Steffen,SV Zwickau 04,AK 55,02:29:33,00:29:09,01:10:47,00:44:39,Details
136,15,289,Sauer,Marian,Bautzener LV Rot-Weiß 90 e. V.,AK 50,02:29:35,00:30:38,01:07:56,00:45:56,Details
137,8,111,Krutzer,René,TRIStars Markkleeberg e. V.,AK 55,02:29:40,00:27:31,00:00:00,00:43:29,Details
138,31,123,Piske,Daniel,Athletico Leipzig e. V.,AK 40,02:29:42,00:30:38,01:10:00,00:44:52,Details
139,23,279,Dath,Stefan,Athletico Leipzig e. V.,AK 30,02:29:48,00:23:08,01:09:21,00:52:29,Details
140,12,718,Lüter,Rouven,Lüter ist die Gang,AK 25,02:29:53,00:25:35,01:15:59,00:44:40,Details
141,27,379,Greulich,Lars,RSV Speiche e. V.,AK 35,02:29:54,00:36:16,01:05:25,00:42:25,Details
142,9,74,Pieruschka,Roger,SC DHfK Leipzig e. V.,AK 55,02:29:55,00:27:03,01:12:55,00:45:23,Details
143,10,268,Knipping,Uwe,power & pace,AK 55,02:29:59,00:32:34,01:05:37,00:47:03,Details
144,16,35,Lehn,Alexander,Moritzburger Triathlonverein e. V.,AK 50,02:29:59,00:29:21,01:05:20,00:50:02,Details
145,13,294,Liebe,Marvin,ERDINGER Active TEAM,AK 25,02:30:01,00:30:55,01:09:39,00:45:06,Details
146,28,772,Wieczorek,Micha,Moritzburger Triathlonverein e. V.,AK 35,02:30:02,00:29:25,01:06:36,00:49:38,Details
147,18,600,Kischlat,Tilo,Leipzig,AK 45,02:30:06,00:25:07,01:12:15,00:48:26,Details
148,1,286,Globig,Sebastian,TVB 09,JUN,02:30:15,00:29:13,01:08:39,00:48:06,Details
149,32,400,Vogt,Thomas,BSG Porsche Leipzig,AK 40,02:30:18,00:30:09,01:10:46,00:45:11,Details
150,11,460,Ockert,Uwe,Leipzig,AK 55,02:30:21,00:28:41,01:09:47,00:47:21,Details
151,29,49,Zellmer,Max,GSBV Halle,AK 35,02:30:33,00:26:58,01:10:30,00:47:13,Details
152,19,102,Enke,Ronny,TriTeam SV Sachsen 90 Werdau e. V.,AK 45,02:30:41,00:27:13,01:13:39,00:44:39,Details
153,17,159,Schneider,Steffen,Moritzburger Triathlonverein e. V.,AK 50,02:30:41,00:31:11,01:07:44,00:45:56,Details
154,18,211,Küttner,Jens,Sportfreunde Ottendorf-Okrilla,AK 50,02:30:43,00:27:59,01:11:30,00:45:19,Details
155,19,335,Börner,Tino,Erfurt,AK 50,02:30:46,00:25:36,01:15:55,00:44:37,Details
156,24,442,Kietzmann,Martin,Martin,AK 30,02:30:50,00:32:55,01:08:59,00:43:54,Details
157,33,63,Fricke,Martin,ERDINGER Active TEAM,AK 40,02:30:56,00:31:22,01:08:55,00:45:33,Details
158,12,61,Jacob,Sven,SVW Triathlon,AK 55,02:31:01,00:28:32,01:09:57,00:46:43,Details
159,20,564,Rommel,Thomas,Leipzig,AK 50,02:31:26,00:31:08,01:12:19,00:42:54,Details
160,30,218,George,Philipp,TRIStars Markkleeberg e. V.,AK 35,02:31:36,00:30:25,01:12:42,00:44:57,Details
161,20,497,Heinz,Matthias,Leipzig,AK 45,02:31:36,00:27:50,01:08:31,00:50:51,Details
162,31,48,Streblow,Gunnar,Leipziger Triathlon e. V.,AK 35,02:31:38,00:30:26,01:03:04,00:54:14,Details
163,21,508,Klopp,David,ERDINGER Active TEAM,AK 45,02:31:47,00:29:27,01:11:06,00:45:58,Details
164,13,637,Koch,Michael,TSV Talheim,AK 55,02:31:50,00:28:10,01:13:45,00:45:13,Details
165,34,330,Nitzsche,Maik,Leipzig,AK 40,02:31:55,00:28:09,01:12:47,00:46:03,Details
166,35,744,Barrios Cueto,Rafael,Triathon Crew Berlin,AK 40,02:31:56,00:26:57,01:14:42,00:45:00,Details
167,25,2,Prietz,Antonio,ASV Zeuthen,AK 30,02:31:57,00:29:44,01:08:59,00:48:15,Details
168,32,705,Samland,Thomas,SG Adelsberg,AK 35,02:31:59,00:28:03,01:13:57,00:44:53,Details
169,14,264,Schneider,Felix,SG Chemie Bitterfeld e. V.,AK 25,02:32:00,00:27:31,01:07:14,00:51:35,Details
170,36,601,Holtz,Stefan,DHfK Leipzig 100kg +,AK 40,02:32:04,00:25:06,01:10:28,00:50:04,Details
171,26,741,Staudt,Jonathan,RTI Automation,AK 30,02:32:07,00:30:07,01:11:33,00:45:07,Details
172,8,254,Starke,Ron,TRIStars Markkleeberg e. V.,AK 20,02:32:15,00:25:10,01:14:37,00:47:40,Details
173,33,623,Trojahn,Marwig,Athletico Leipzig e. V.,AK 35,02:32:32,00:31:49,01:10:47,00:44:09,Details
174,37,353,Partzsch,Christian,Döbelner SV05,AK 40,02:32:46,00:30:14,01:13:06,00:44:33,Details
175,34,68,Lange,Paul,SV Tri City Darmstadt,AK 35,02:32:46,00:30:28,01:11:10,00:45:41,Details
176,15,450,Clauß,Anton,TV Dresden e. V.,AK 25,02:32:46,00:25:09,01:16:58,00:45:18,Details
